Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank, Pos, City, State, Height, Weight, Stars, Grade, University
Christian Greene,QB-DT,Ashburn,VA,6'2'',170,75,Wake Forest,,22,,,2021,Wake Forest,139,31,,,,,,,,
Dez Williams,WR,Leonardtown,MD,6'1'',200,75,Wake Forest,,180,,,2021,Wake Forest,,,,,,,,,,
Brandon Williams,TE-Y,Johnston,SC,6'4'',225,74,Wake Forest,,44,,,2021,Wake Forest,,,,,,,,,,
Evan Slocum,ATH,Cartersville,GA,5'10'',175,74,Wake Forest,,111,,,2021,Wake Forest,,,,,,,,,,
Matthew Dennis,K,Charlotte,NC,5'11'',165,74,Wake Forest,,14,,,2021,Wake Forest,602,66,,,,,,,,
Erik Russell,OT,Boston,MA,6'7'',255,74,Wake Forest,,119,,,2021,Wake Forest,173,12,,,,,,,,
Billy Edwards,QB-PP,Burke,VA,6'3'',185,73,Wake Forest,,,,,2021,Wake Forest,193,43,,,,,,,,
Joshua Sosanya,S,Raleigh,NC,6'2'',180,73,Wake Forest,,,,,2021,Wake Forest, None, None,,,,,,,,
DaShawn Jones,CB,Baltimore,MD,6'0'',170,72,Wake Forest,,164,,,2021,Wake Forest,223,48,,,,,,,,
Horatio Fields,WR,Douglasville,GA,6'3'',185,72,Wake Forest,,263,,,2021,Wake Forest,814,179,,,,,,,,
Gavin Ellis,TE-H,Hampstead,NC,6'5'',225,72,Wake Forest,,40,,,2021,Wake Forest,853,90,,,,,,,,
Zavier Simpson,WR,Indianapolis,IN,6'3'',180,71,Wake Forest,,293,,,2021,Wake Forest,,,,,,,,,,
Luiji Vilain,DE,Alexandria,VA,6'4'',250,TR,Wake Forest,,,,,2021,Wake Forest, None, None,,,,,,,,
Casey Washington,WR,Pflugerville,TX,6'1'',190,TR,Wake Forest,,,,,2021,Wake Forest,,,,,,,,,,
Christian Turner,RB,Buford,GA,5'11'',200,TR,Wake Forest,,,,,2021,Wake Forest,,,,,,,,,,
Jaydn Girard,WR,Tampa,FL,6'1'',175,79,Wake Forest,,76,,,2022,Wake Forest,205,69,,,,,,,,
Zamari Stevenson,CB,Statesville,NC,6'0'',165,79,Wake Forest,,55,,,2022,Wake Forest,222,15,,,,,,,,
Eli Hall,DE,Shelby,NC,6'4'',250,78,Wake Forest,,51,,,2022,Wake Forest,,,,,,,,,,
Wesley Grimes,WR,Raleigh,NC,6'2'',180,78,Wake Forest,,111,,,2022,Wake Forest,,,,,,,,,,
Tommy Bebie,ILB,Rocky River,OH,6'1'',200,77,Wake Forest,,25,,,2022,Wake Forest,,,,,,,,,,
Demond Claiborne,RB,King William,VA,5'10'',185,77,Wake Forest,,61,,,2022,Wake Forest,89,22,,,,,,,,
Brett Griffis,QB,Ashburn,VA,6'0'',185,77,Wake Forest,,40,,,2022,Wake Forest,97,27,,,,,,,,
Derrell Johnson,OG,Jacksonville,FL,6'3'',270,77,Wake Forest,,41,,,2022,Wake Forest,407,130,,,,,,,,
Tate Carney,RB,Mocksville,NC,5'11'',200,76,Wake Forest,,428,,,2022,Wake Forest, None,27,,,,,,,,
Jalen Swindell,DT,Charlotte,NC,6'2'',290,76,Wake Forest,,452,,,2022,Wake Forest,,,,,,,,,,
Andre Hodge,CB,Fort Mill,SC,6'0'',180,76,Wake Forest,,101,,,2022,Wake Forest,458,16,,,,,,,,
Jamare Glasker,ATH,Oxon Hill,MD,5'11'',180,73,Wake Forest,,152,,,2022,Wake Forest,,,,,,,,,,
Harry Lodge,TE,Belmont,MA,6'6'',240,72,Wake Forest,,50,,,2022,Wake Forest,,,,,,,,,,
Kobie Turner,DT,Clifton,VA,6'3'',290,TR,Wake Forest,,,,,2022,Wake Forest,,,,,,,,,,
Antonio Robinson,CB,Fort Mitchell,KY,5'10'',175,81,Wake Forest ,,35,148,1,2023,Wake Forest,,,,,,,,,,
Chris Marable,DT,Hilton Head,SC,6'3'',280,79,Wake Forest ,,35,,,2023,Wake Forest,,,,,,,,,,
Ka'Shawn Thomas,DT,Brunswick,GA,6'2'',280,78,Wake Forest ,,71,,,2023,Wake Forest,,,,,,,,,,
Kerrington Lee,DE,Palm Beach Gardens,FL,6'4'',225,78,Wake Forest ,,72,,,2023,Wake Forest,,,,,,,,,,
Micah Mays,WR,North Palm Beach,FL,6'2'',175,78,Wake Forest ,,43,317,70,2023,Wake Forest,,,,,,,,,,
Devin McRae,OG,McRae,GA,6'4'',265,78,Wake Forest ,,64,,,2023,Wake Forest,,,,,,,,,,
Jaquez Keyes,RB,Ironton,OH,6'0'',205,77,Wake Forest ,,94,,,2023,Wake Forest,,,,,,,,,,
Rushaun Tongue,CB,Pasadena,MD,6'2'',175,76,Wake Forest ,,106,,,2023,Wake Forest,,,,,,,,,,
Travon West,CB,Piedmont,SC,5'11'',170,76,Wake Forest ,,515,,,2023,Wake Forest,,,,,,,,,,
Drew Pickett,RB,Seale,AL,5'10'',185,76,Wake Forest ,,45,,,2023,Wake Forest,,,,,,,,,,
Charlie Gilliam,QB-PP,McDonough,GA,6'3'',180,75,Wake Forest ,,154,95,5,2023,Wake Forest,,,,,,,,,,
David Egbe,RB,Windsor,CT,5'10'',195,75,Wake Forest ,,602,,,2023,Wake Forest,,,,,,,,,,
Davaughn Patterson,OLB,Jacksonville,FL,6'0'',200,74,Wake Forest ,,617,92,217,2023,Wake Forest,,,,,,,,,,
Kyland Armstrong,OG,Orange Park,FL,6'3'',285,74,Wake Forest ,,119,623,41,2023,Wake Forest,,,,,,,,,,
George Steih,OT,Knoxville,TN,6'4'',260,74,Wake Forest ,,166,633,151,2023,Wake Forest,,,,,,,,,,
Tyler Walton,DE,Suwanee,GA,6'4'',230,74,Wake Forest ,,58,,,2023,Wake Forest,,,,,,,,,,
Aiden Hall,ILB,Pleasant Grove,AL,6'2'',210,74,Wake Forest ,,,,,2023,Wake Forest,,,,,,,,,,
Uber Ajongo,OT,Post,Ottawa,ON,6'6'',265,73,Wake Forest ,231,,,2023,Wake Forest,,,,,,,,,,
Hilton Alexander II,WR,Douglasville,GA,5'11'',165,73,Wake Forest ,,43,210,49,2023,Wake Forest,,,,,,,,,,
Tyler Black,K,Goochland,VA,6'0'',160,72,Wake Forest ,,,,,2023,Wake Forest,,,,,,,,,,
Bryce Ganious,DT,Houston,TX,6'2'',280,TR,Wake Forest ,,,,,2023,Wake Forest,,,,,,,,,,
Walker Merrill,WR,Brentwood,TN,6'1'',195,TR,Wake Forest,,,,,2023,Wake Forest,,,,,,,,,,
